Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.6863,1,265.241,1,4.47160042,,-0.63997573,0.05408484,6176.80374283,38.81760038,-159.74350835,2.87507441301,21000196.0,1898709.0,False,17.318,16.692,0.0
-53.6863,1,265.245,1,4.51986942,,-1.62608098,0.08751423,5341.72105596,68.90387844,20.12155842,3.33314350738,21000197.0,1898710.0,False,18.373,17.546,0.998565137386
-53.6859,1,265.267,1,4.63281917,,0.19973123,0.10856296,5055.04051729,55.85241035,36.59969589,4.17686603766,21000199.0,1898711.0,False,19.106,18.195,0.0
-53.6858,1,265.266,1,4.54081471,,-1.742904,0.07856901,6081.54520237,33.35877154,18.65108877,3.46985364841,21000200.0,1898712.0,False,17.629,16.976,0.999488770962
-53.6853,1,265.253,1,4.65382649,,-1.88622211,0.11128068,5394.23903563,79.4431561,18.44015046,4.27693021493,21000203.0,1898714.0,False,18.485,17.718,0.999746799469
-53.685,1,265.255,1,4.58926308,,-1.81102777,0.08910578,5719.7067943,61.05886942,22.23625645,3.44712543684,21000204.0,1898715.0,False,18.038,17.326,0.999562680721
-53.6846,1,265.267,1,4.24905343,,-2.03370271,0.3822495,6355.58056634,140.82231445,-9.7083781,14.5113639245,21000206.0,1898717.0,False,16.905,16.238,0.979079902172
-53.6841,1,265.248,1,4.40173403,,-1.87778776,0.06175644,6089.40893408,25.76959841,12.97054592,2.52593249263,21000208.0,1898719.0,False,17.224,16.577,0.9998472929
-53.6839,1,265.258,1,4.56670206,,-1.92926729,0.09804099,5746.63171077,62.33954659,14.69548838,3.64849496916,21000210.0,1898721.0,False,17.974,17.262,0.999805033207
-53.6824,1,265.24,1,4.66368595,,-1.79726075,0.13245894,5460.08627427,101.27343473,13.32187239,4.63060267791,21000218.0,1898727.0,False,18.562,17.785,0.99968290329
-53.682,1,265.252,1,4.67337702,,-1.77449796,0.11896056,5599.4583056,93.88454022,32.72579795,4.50284636009,21000219.0,1898728.0,False,18.442,17.696,0.987936139107
-53.6815,1,265.248,1,4.68445854,,-1.74351766,0.17750793,5118.3717979,128.96773927,22.50173184,6.67217045801,21000221.0,1898730.0,False,19.349,18.421,0.998987853527
-53.6804,1,265.243,1,4.61698287,,-1.52174247,0.07271463,5959.04918986,52.16943164,26.57349523,4.21068713392,21000226.0,1898734.0,False,17.929,17.257,0.985384523869
-53.6799,1,265.248,1,4.70921245,,-1.82524937,0.16569305,4767.10051065,128.48076551,19.03252972,7.45579558156,21000227.0,1898735.0,False,19.452,18.519,0.999508082867
-53.679,1,265.26,1,4.65457731,,-2.12907937,0.13807739,5300.90841797,90.76056348,16.36115563,6.05351771558,21000228.0,1898736.0,False,18.449,17.69,0.99950170517
-53.6783,1,265.249,1,4.6304055,,-1.7600988,0.10428725,5861.40693054,65.53172446,12.18691876,4.12515143169,21000230.0,1898737.0,False,18.061,17.369,0.999494612217
-53.6782,1,265.25,1,4.7190648,,-0.16564821,0.07584437,5616.92461227,51.83566975,-15.88498828,2.96586937979,21000231.0,1898738.0,False,18.742,17.962,0.0
-53.6777,1,265.248,1,4.72049587,,-1.77525814,0.17892873,5214.87176933,125.95922608,18.32228544,5.77525658838,21000232.0,1898739.0,False,19.116,18.26,0.999406099319
